text	entities
offshore	O
oil	COMPOUND
field	O
owned	O
by	O
Royal	O
-	O
Dutch	O
Shell	ORGANISATION
.	O
""""	O
The	O
German	O
firm	O
works	O
as	O
a	O
sub	O
-	O
contractor	O
for	O
Shell	ORGANISATION
.	O
Militant	O
groups	O
frequently	O
attack	O
oil	COMPOUND
operations	O
in	O
the	O
Niger	O
Delta	LOCATION
to	O
demand	O
social	O
services	O
and	O
better	O
job	O
opportunities	O
from	O
multinational	ORGANISATION
companies	ORGANISATION
.	O
Poor	O
residents	O
often	O
complain	O
they	O
have	O
been	O
cheated	ATTACKS
out	O
of	O
the	O
huge	O
riches	O
extracted	O
from	O
their	O
tribal	QUANTITY
lands	O
-	O
where	O
the	O
bulk	O
of	O
Nigeria	COUNTRY
's	O
2.3	QUANTITY
million	O
barrels	O
of	O
petroleum	COMPOUND
are	O
pumped	O
daily	O
.	O
Suspected	O
Islamist	O
rebels	O
have	O
fired	ATTACKS
mortar	COMPOUND
shells	O
at	O
the	O
palace	BUILDINGS
used	O
by	O
Somalia	COUNTRY
's	O
interim	O
President	O
Abdullahi	EVENT
Yusuf	O
Ahmad	O
.	O
It	O
was	O
not	O
immediately	O
clear	O
if	O
the	O
president	PERSON
was	O
in	O
the	O
palace	BUILDINGS
in	O
Mogadishu	LOCATION
when	O
the	O
attack	O
occurred	O
or	O
if	O
anyone	O
was	O
hurt	ATTACKS
.	O
Local	O
news	O
reports	O
said	O
at	O
least	O
five	QUANTITY
mortar	COMPOUND
shells	O
hit	ATTACKS
the	O
palace	BUILDINGS
compound	O
and	O
other	O
mortars	COMPOUND
were	O
fired	ATTACKS
elsewhere	O
in	O
Mogadishu	LOCATION
Wednesday	DAY
.	O
""""	O
The	O
attacks	ATTACKS
occurred	O
after	O
the	O
government	O
said	O
it	O
will	O
go	O
ahead	O
with	O
a	O
reconciliation	O
conference	O
to	O
which	O
more	O
than	O
1,300	QUANTITY
Somali	LOCATION
elders	O
,	O
warlords	O
and	O
politicians	O
are	O
invited	O
.	O
""""	O
Iraqi	COUNTRY
military	ARMY
officials	O
say	O
tanks	COMPOUND
and	O
troops	ARMY
have	O
arrived	O
in	O
the	O
northern	O
city	O
Mosul	LOCATION
for	O
a	O
new	O
offensive	QUANTITY
against	O
al	ORGANISATION
Qaida	O
in	O
Iraq	COUNTRY
fighters	ARMY
.	O
""""	O
Officials	O
will	O
not	O
say	O
how	O
many	O
troops	ARMY
have	O
arrived	O
in	O
the	O
Sunni	LOCATION
Arab	O
and	O
Kurdish	O
city	O
,	O
where	O
bombings	ATTACKS
last	O
week	O
killed	ATTACKS
at	O
least	O
34	O
people	O
and	O
wounded	ATTACKS
more	O
than	O
200	QUANTITY
.	O
""""	O
U.S.	COUNTRY
commanders	ARMY
have	O
not	O
explained	O
how	O
American	COUNTRY
forces	ARMY
will	O
participate	O
in	O
the	O
offensive	QUANTITY
.	O
Officials	O
say	O
al	ORGANISATION
Qaida	O
in	O
Iraq	COUNTRY
fighters	ARMY
have	O
fled	O
successful	O
campaigns	O
against	O
them	O
in	O
Anbar	O
province	O
and	O
Baghdad	LOCATION
to	O
other	O
northern	O
provinces	LOCATION
.	O
Mosul	LOCATION
is	O
the	O
largest	O
city	O
north	O
of	O
Baghdad	LOCATION
and	O
has	O
long	O
been	O
a	O
stronghold	O
of	O
Sunni	LOCATION
militant	ARMY
fighters	ARMY
.	O
""""	O
In	O
other	O
violence	O
,	O
U.S.	COUNTRY
officials	O
said	O
one	O
American	COUNTRY
soldier	ARMY
was	O
killed	ATTACKS
while	O
on	O
patrol	O
in	O
Baghdad	LOCATION
Sunday	DAY
.	O
""""	O
Egyptian	LOCATION
police	ARMY
have	O
arrested	ATTACKS
at	O
least	O
16	QUANTITY
members	PERSON
of	O
the	O
opposition	O
Muslim	ORGANISATION
Brotherhood	ORGANISATION
as	O
parts	O
of	O
the	O
country	O
prepare	O
for	O
parliamentary	O
runoff	O
elections	GOVERNMENT
Saturday	DAY
.	O
The	O
arrests	ATTACKS
occurred	O
Friday	DAY
in	O
Alexandria	O
.	O
A	O
spokesman	O
for	O
the	O
Brotherhood	ORGANISATION
said	O
the	O
arrests	ATTACKS
are	O
an	O
attempt	O
to	O
cut	O
the	O
Brotherhood	ORGANISATION
off	O
from	O
its	O
supporters	O
and	O
punishment	ATTACKS
for	O
winning	GOVERNMENT
parliamentary	O
seats	O
in	O
earlier	ATTACKS
elections	GOVERNMENT
.	O
""""	O
The	O
Muslim	ORGANISATION
Brotherhood	ORGANISATION
has	O
tripled	QUANTITY
its	O
strength	O
in	O
parliament	GOVERNMENT
in	O
recent	O
elections	GOVERNMENT
,	O
raising	O
the	O
party	GOVERNMENT
's	O
total	O
to	O
47	QUANTITY
seats	O
.	O
""""	O
""""	O
In	O
Saturday	DAY
's	O
elections	GOVERNMENT
,	O
voters	GOVERNMENT
will	O
cast	O
ballots	O
in	O
nine	QUANTITY
provinces	LOCATION
where	O
no	O
candidate	GOVERNMENT
won	O
a	O
majority	O
in	O
the	O
previous	O
round	O
of	O
voting	GOVERNMENT
.	O
""""	O
""""	O
The	O
Muslim	ORGANISATION
Brotherhood	ORGANISATION
is	O
banned	O
as	O
a	O
political	GOVERNMENT
party	GOVERNMENT
,	O
but	O
it	O
endorses	O
so	O
-	O
called	O
independent	O
candidates	GOVERNMENT
whose	O
allegiance	O
to	O
the	O
party	GOVERNMENT
is	O
known	O
to	O
voters	GOVERNMENT
.	O
""""	O
""""	O
Hardline	O
lawmakers	GOVERNMENT
in	O
Pakistan	COUNTRY
's	O
North	O
West	O
Frontier	O
Province	O
have	O
pushed	O
through	O
a	O
law	GOVERNMENT
that	O
aims	O
to	O
ensure	O
""""	O
""""	O
Islamic	O
correctness	O
""""	O
""""	O
in	O
public	PERSON
places	O
and	O
establishes	O
a	O
morality	O
police	ARMY
to	O
enforce	O
decent	O
behavior	O
.	O
""""	O
""""	O
A	O
six	QUANTITY
-	O
party	GOVERNMENT
coalition	O
of	O
religious	O
based	O
parties	O
,	O
the	O
Mutahida	O
Majlis	LOCATION
-	O
e	O
-	O
Amal	O
,	O
dominates	O
the	O
provincial	GOVERNMENT
assembly	GOVERNMENT
,	O
so	O
the	O
bill	TREATY
was	O
easily	O
passed	O
Thursday	DAY
by	O
a	O
vote	O
of	O
68	O
-	O
34	O
.	O
""""	O
""""	O
The	O
provincial	GOVERNMENT
governor	O
must	O
still	O
sign	O
the	O
bill	TREATY
before	O
it	O
becomes	O
law	GOVERNMENT
,	O
a	O
step	O
seen	O
only	O
as	O
a	O
formality	O
.	O
""""	O
""""	O
The	O
proposed	O
law	GOVERNMENT
calls	O
for	O
setting	O
up	O
a	O
""""	O
""""	O
religious	O
police	ARMY
force	O
""""	O
""""	O
to	O
make	O
sure	O
people	O
adhere	O
to	O
Islamic	O
values	O
in	O
public	PERSON
places	O
,	O
and	O
entertainment	O
outlets	O
close	O
during	O
weekly	TIME
Friday	DAY
prayers	O
.	O
""""	O
Violators	O
could	O
be	O
jailed	ATTACKS
for	O
up	O
to	O
six	QUANTITY
months	O
.	O
""""	O
The	O
opposition	O
has	O
denounced	O
the	O
measure	O
,	O
comparing	O
it	O
to	O
the	O
draconian	LOCATION
rule	O
of	O
the	O
former	O
Taleban	ORGANISATION
in	O
neighboring	O
Afghanistan	COUNTRY
.	O
""""	O
British	O
police	ARMY
say	O
they	O
have	O
arrested	ATTACKS
a	O
man	O
who	O
dressed	O
as	O
suicide	QUANTITY
bomber	O
at	O
a	O
demonstration	O
against	O
the	O
publication	O
of	O
cartoons	O
depicting	O
Islam	O
's	O
Prophet	O
Muhammad	PERSON
.	O
Bedfordshire	LOCATION
police	ARMY
said	O
Tuesday	DAY
that	O
Omar	DATE
Khayam	PERSON
was	O
arrested	ATTACKS
in	O
Bedford	LOCATION
for	O
breaching	O
the	O
conditions	O
of	O
his	O
parole	O
.	O
""""	O
Police	ARMY
said	O
the	O
British	O
Home	PERSON
Office	QUANTITY
sought	O
an	O
investigation	O
of	O
Khayam	PERSON
's	O
behavior	O
after	O
he	O
was	O
photographed	O
last	O
week	O
at	O
a	O
demonstration	O
dressed	O
in	O
fatigues	COMPOUND
,	O
a	O
black	O
cap	COMPOUND
,	O
and	O
a	O
bulky	O
belt	COMPOUND
.	O
""""	O
""""	O
A	O
Home	PERSON
Office	QUANTITY
spokesman	O
told	O
the	O
Associated	O
Press	O
that	O
if	O
the	O
behavior	O
of	O
a	O
paroled	O
offender	O
gives	O
cause	O
for	O
concern	O
,	O
he	O
can	O
be	O
sent	O
back	O
to	O
prison	O
.	O
""""	O
The	O
AP	ORGANISATION
also	O
reports	O
Khayam	PERSON
has	O
been	O
on	O
parole	O
from	O
prison	O
since	O
last	O
year	O
after	O
serving	O
half	O
his	O
six	QUANTITY
-	O
year	O
sentence	O
for	O
drug	COMPOUND
dealing	O
.	O
""""	O
Pakistani	COUNTRY
officials	O
say	O
unidentified	O
gunmen	O
have	O
killed	ATTACKS
three	QUANTITY
people	O
,	O
including	O
a	O
former	O
government	O
minister	O
,	O
in	O
a	O
semi	O
-	O
autonomous	O
tribal	QUANTITY
region	LOCATION
bordering	O
Afghanistan	COUNTRY
.	O
""""	O
The	O
officials	O
say	O
prominent	O
tribal	QUANTITY
leader	O
Malik	O
Faridullah	O
Khan	PERSON
was	O
traveling	O
in	O
South	O
Waziristan	O
Sunday	DAY
when	O
his	O
vehicle	O
was	O
ambushed	ATTACKS
in	O
the	O
Kani	LOCATION
Wam	O
area	O
.	O
His	O
driver	O
and	O
a	O
tribal	QUANTITY
elder	O
were	O
also	O
killed	ATTACKS
.	O
No	O
one	O
has	O
claimed	O
responsibility	O
for	O
the	O
killings	ATTACKS
.	O
The	O
ambush	ATTACKS
came	O
a	O
day	O
after	O
a	O
commander	ARMY
of	O
Pakistani	COUNTRY
troops	ARMY
said	O
the	O
army	O
has	O
almost	O
completely	O
eliminated	O
militants	ARMY
in	O
South	O
Waziristan	O
.	O
The	O
area	O
became	O
a	O
refuge	O
for	O
many	O
al	ORGANISATION
-	O
Qaida	O
and	O
Taleban	ORGANISATION
fighters	ARMY
after	O
the	O
Taleban	ORGANISATION
government	O
was	O
ousted	O
in	O
Afghanistan	COUNTRY
in	O
2001	DATE
.	O
""""	O
A	O
senior	O
Pakistani	COUNTRY
military	ARMY
official	O
says	O
Pakistan	COUNTRY
wants	O
to	O
put	O
what	O
he	O
calls	O
the	O
""""	O
""""	O
sordid	O
chapter	O
""""	O
""""	O
of	O
proliferation	O
by	O
one	O
of	O
its	O
top	O
scientists	PERSON
behind	O
it	O
and	O
build	O
civilian	PERSON
nuclear	COMPOUND
ties	O
with	O
the	O
United	COUNTRY
States	O
.	O
""""	O
""""	O
But	O
he	O
says	O
Pakistan	COUNTRY
is	O
not	O
ready	O
to	O
make	O
the	O
nuclear	COMPOUND
scientist	PERSON
,	O
Abdul	O
Qadeer	O
Khan	PERSON
,	O
available	O
for	O
direct	O
questioning	O
over	O
his	O
sale	O
of	O
nuclear	COMPOUND
parts	O
and	O
secrets	O
to	O
states	O
including	O
Iran	COUNTRY
,	O
Libya	COUNTRY
and	O
North	O
Korea	LOCATION
.	O
""""	O
He	O
said	O
there	O
are	O
reasons	O
of	O
national	O
sensitivities	O
for	O
not	O
making	O
him	O
available	O
.	O
The	O
Pakistani	COUNTRY
official	O
was	O
giving	O
a	O
background	O
briefing	O
to	O
a	O
small	O
group	O
of	O
reporters	PERSON
in	O
Washington	LOCATION
.	O
Khan	PERSON
admitted	O
in	O
2004	DATE
that	O
he	O
operated	O
a	O
worldwide	O
clandestine	PERSON
network	O
to	O
sell	O
nuclear	COMPOUND
technology	COMPOUND
in	O
the	O
black	O
market	O
.	O
""""	O
He	O
was	O
placed	O
under	O
house	O
arrest	ATTACKS
in	O
Islamabad	LOCATION
,	O
but	O
not	O
jailed	ATTACKS
because	O
he	O
is	O
considered	O
the	O
father	O
of	O
Pakistan	COUNTRY
's	O
nuclear	COMPOUND
bomb	COMPOUND
.	O
""""	O
U.S.	COUNTRY
Army	O
officials	O
said	O
Wednesday	DAY
that	O
they	O
will	O
not	O
renew	O
a	O
controversial	O
multi	QUANTITY
-	O
billion	O
dollar	O
contract	O
with	O
the	O
Halliburton	ORGANISATION
company	ORGANISATION
to	O
provide	O
logistical	O
support	O
to	O
U.S.	COUNTRY
troops	ARMY
in	O
Iraq	COUNTRY
and	O
elsewhere	O
.	O
""""	O
Halliburton	ORGANISATION
has	O
been	O
providing	O
a	O
long	O
list	O
of	O
services	O
,	O
from	O
meals	O
to	O
communication	O
,	O
for	O
the	O
military	ARMY
for	O
several	O
years	O
.	O
""""	O
Critics	O
of	O
Halliburton	ORGANISATION
include	O
auditors	GOVERNMENT
and	O
congressional	O
Democrats	GOVERNMENT
.	O
They	O
say	O
the	O
company	ORGANISATION
has	O
produced	O
some	O
shoddy	O
work	O
and	O
charges	O
too	O
much	O
money	COMPOUND
.	O
The	O
company	ORGANISATION
strongly	O
denies	O
the	O
allegations	O
.	O
""""	O
When	O
the	O
huge	O
contract	O
is	O
put	O
out	O
for	O
re	O
-	O
bidding	O
,	O
several	O
companies	ORGANISATION
will	O
get	O
a	O
chance	O
to	O
compete	O
for	O
portions	O
of	O
the	O
work	O
.	O
""""	O
Representatives	O
from	O
the	O
Asia	O
Pacific	LOCATION
Economic	O
Cooperation	O
Business	O
Advisory	O
Council	O
are	O
holding	O
meetings	O
this	O
week	O
to	O
finalize	O
their	O
annual	TIME
report	O
for	O
APEC	ORGANISATION
leaders	O
who	O
will	O
hold	O
a	O
summit	O
on	O
September	O
8	O
and	O
9	O
.	O
VOA	ORGANISATION
's	O
Nancy	COUNTRY
-	O
Amelia	O
Collins	O
reports	O
from	O
Sydney	O
.	O
""""	O
Energy	COMPOUND
,	O
security	COMPOUND
,	O
climate	O
change	O
,	O
the	O
World	O
Trade	O
Organization	O
's	O
stalled	O
negotiations	O
,	O
and	O
investment	O
are	O
all	O
expected	O
to	O
be	O
among	O
the	O
major	O
topics	O
in	O
the	O
annual	TIME
report	O
of	O
the	O
APEC	ORGANISATION
Business	O
Advisory	O
Council	O
,	O
known	O
as	O
ABAC	ORGANISATION
.	O
""""	O
""""	O
Tim	QUANTITY
Harcourt	PERSON
,	O
the	O
chief	PERSON
economist	PERSON
of	O
the	O
Australian	ORGANISATION
Trade	O
Commission	LOCATION
,	O
says	O
ABAC	ORGANISATION
plays	O
an	O
important	O
role	O
by	O
informing	O
governments	GOVERNMENT
where	O
there	O
are	O
problems	O
.	O
""""	O
""""	O
""""	O
""""	O
The	O
most	O
important	O
thing	O
the	O
business	O
groups	O
can	O
do	O
is	O
to	O
tell	O
the	O
governments	GOVERNMENT
where	O
there	O
are	O
logjams	O
,	O
where	O
there	O
are	O
obstacles	O
,	O
where	O
things	O
can	O
improve	O
,	O
""""	O
""""	O
Harcourt	PERSON
said	O
.	O
""""	O
""""	O
""""	O
""""	O
I	O
think	O
actually	O
ABAC	ORGANISATION
has	O
played	O
a	O
pretty	O
good	O
leadership	O
on	O
that	O
in	O
talking	O
about	O
trade	O
facilitation	O
and	O
basically	O
making	O
sure	O
standards	O
are	O
consistent	O
and	O
harmonious	O
across	O
the	O
region	LOCATION
.	O
""""	O
""""	O
""""	O
ABAC	ORGANISATION
comprises	O
up	O
to	O
three	QUANTITY
members	PERSON
of	O
the	O
private	O
sector	O
of	O
each	O
of	O
the	O
21	QUANTITY
economies	O
that	O
make	O
up	O
APEC	ORGANISATION
.	O
It	O
meets	O
three	QUANTITY
times	O
a	O
year	O
.	O
It	O
was	O
made	O
a	O
permanent	O
body	O
in	O
1995	DATE
to	O
provide	O
an	O
independent	O
business	O
perspective	O
within	O
APEC	ORGANISATION
.	O
""""	O
Members	O
represent	O
a	O
range	O
of	O
business	O
sectors	O
,	O
including	O
medium	ORGANISATION
and	O
small	O
businesses	ORGANISATION
.	O
""""	O
""""	O
ABAC	ORGANISATION
says	O
there	O
is	O
a	O
need	O
for	O
businesses	ORGANISATION
to	O
improve	O
energy	COMPOUND
efficiency	O
and	O
to	O
encourage	O
conservation	O
practices	O
,	O
and	O
is	O
expected	O
to	O
include	O
this	O
in	O
its	O
annual	TIME
report	O
.	O
""""	O
""""	O
Harcourt	PERSON
,	O
of	O
the	O
Australian	ORGANISATION
Trade	O
Commission	LOCATION
,	O
says	O
the	O
ABAC	ORGANISATION
report	O
will	O
also	O
discuss	O
ways	O
to	O
enhance	O
regional	O
cooperation	O
.	O
""""	O
""""	O
""""	O
""""	O
I	O
reckon	PERSON
they	O
'll	O
talk	O
a	O
little	O
bit	O
about	O
customs	O
and	O
quarantine	O
,	O
a	O
little	O
bit	O
about	O
having	O
consistent	O
security	COMPOUND
arrangements	GOVERNMENT
around	O
the	O
region	LOCATION
,	O
""""	O
""""	O
Harcourt	PERSON
said	O
.	O
""""	O
""""	O
""""	O
""""	O
And	O
I	O
think	O
they	O
'll	O
want	O
a	O
one	O
-	O
stop	O
shop	O
in	O
terms	O
of	O
combining	O
security	COMPOUND
,	O
immigration	O
,	O
customs	O
,	O
and	O
quarantine	O
together	O
 	O
just	O
to	O
make	O
sure	O
it	O
's	O
more	O
streamlined	O
and	O
provides	O
more	O
certainty	PERSON
.	O
""""	O
""""	O
""""	O
ABAC	ORGANISATION
is	O
the	O
only	O
non	O
-	O
governmental	O
body	O
that	O
has	O
an	O
official	O
role	O
and	O
formal	O
dialogue	COMPOUND
with	O
the	O
leaders	O
of	O
the	O
APEC	ORGANISATION
economies	O
.	O
It	O
will	O
present	O
its	O
annual	TIME
report	O
at	O
the	O
APEC	ORGANISATION
leaders	O
meeting	O
on	O
Saturday	DAY
.	O
""""	O
Sudan	LOCATION
's	O
government	O
says	O
it	O
will	O
order	O
troops	ARMY
to	O
end	O
attacks	ATTACKS
immediately	O
in	O
Darfur	O
,	O
and	O
is	O
asking	O
rebels	O
to	O
do	O
the	O
same	O
.	O
""""	O
""""	O
Foreign	LOCATION
Minister	LOCATION
Mustafa	LOCATION
Osman	O
Ismail	O
says	O
Sudanese	O
troops	ARMY
will	O
also	O
withdraw	O
to	O
positions	O
held	O
before	O
an	O
April	O
cease	O
-	O
fire	O
,	O
if	O
rebels	O
in	O
the	O
western	O
region	LOCATION
agree	O
to	O
stop	O
attacks	ATTACKS
.	O
""""	O
Mr.	LOCATION
Ismail	O
announced	O
the	O
decision	O
after	O
meeting	O
with	O
officials	O
from	O
the	O
United	COUNTRY
Nations	O
and	O
African	COUNTRY
Union	COUNTRY
in	O
Khartoum	O
Sunday	DAY
.	O
""""	O
In	O
recent	O
weeks	O
,	O
AU	O
officials	O
say	O
Sudanese	O
troops	ARMY
and	O
rebels	O
have	O
repeatedly	O
violated	O
the	O
April	O
truce	O
.	O
""""	O
""""	O
Saturday	DAY
,	O
the	O
head	O
of	O
AU	O
forces	ARMY
in	O
Darfur	O
accused	O
Sudanese	O
government	O
helicopters	ATTACKS
of	O
bombing	O
rebel	O
sites	O
in	O
the	O
South	O
Darfur	O
village	O
of	O
Labado	O
.	O
""""	O
Khartoum	O
says	O
troops	ARMY
were	O
defending	O
their	O
positions	O
from	O
rebel	O
attacks	ATTACKS
.	O
Aid	O
workers	O
say	O
some	O
relief	O
efforts	O
have	O
been	O
suspended	O
in	O
South	O
Darfur	O
due	O
to	O
recent	O
attacks	ATTACKS
.	O
Indonesian	O
police	ARMY
have	O
arrested	ATTACKS
three	QUANTITY
men	O
in	O
connection	O
with	O
the	O
October	O
1	QUANTITY
Bali	O
bombings	ATTACKS
that	O
left	O
23	QUANTITY
people	O
dead	O
.	O
Indonesian	O
police	ARMY
said	O
Wednesday	DAY
the	O
men	O
were	O
flown	O
to	O
Bali	O
from	O
neighboring	O
Java	COUNTRY
island	O
for	O
questioning	O
at	O
Bali	O
police	ARMY
headquarters	O
.	O
Australian	ORGANISATION
and	O
French	O
news	O
agencies	O
say	O
at	O
least	O
one	O
of	O
the	O
men	O
arrested	ATTACKS
(	O
Cholily	LOCATION
)	O
was	O
captured	O
during	O
a	O
series	O
of	O
counter	O
-	O
terrorism	O
raids	O
last	O
week	O
in	O
Indonesia	O
.	O
The	O
raids	O
ended	GOVERNMENT
with	O
the	O
death	O
of	O
alleged	O
extremist	O
bombmaker	O
Azahari	ORGANISATION
bin	O
Husin	O
.	O
Indonesian	O
authorities	O
blame	O
Azahari	ORGANISATION
bin	O
Husin	O
for	O
orchestrating	O
last	O
month	O
's	O
attacks	ATTACKS
in	O
Bali	O
as	O
well	O
as	O
the	O
2002	DATE
Bali	O
bombings	ATTACKS
that	O
killed	ATTACKS
more	O
than	O
200	QUANTITY
people	O
.	O
""""	O
Gunmen	O
have	O
shot	O
and	O
killed	ATTACKS
a	O
Roman	O
Catholic	O
nun	O
and	O
her	O
bodyguard	PERSON
at	O
the	O
hospital	O
where	O
she	O
worked	O
in	O
Islamist	O
-	O
controlled	ATTACKS
Mogadishu	LOCATION
,	O
Somalia	COUNTRY
.	O
""""	O
Some	LOCATION
witnesses	O
to	O
the	O
Sunday	DAY
shooting	O
said	O
they	O
feared	O
the	O
attack	O
was	O
linked	O
to	O
Muslim	ORGANISATION
anger	O
toward	O
Pope	O
Benedict	O
.	O
""""	O
Two	QUANTITY
men	O
with	O
pistols	O
attacked	O
the	O
nun	O
,	O
Sister	O
Leonella	O
Sgorbati	LOCATION
,	O
after	O
she	O
finished	O
teaching	O
a	O
medical	O
school	O
class	ATTACKS
at	O
the	O
hospital	O
in	O
southern	O
Mogadishu	LOCATION
.	O
""""	O
Officials	O
say	O
one	O
suspect	O
was	O
arrested	ATTACKS
.	O
""""	O
In	O
Rome	LOCATION
,	O
a	O
Vatican	COUNTRY
spokesman	O
deplored	O
the	O
attack	O
and	O
said	O
he	O
hoped	O
it	O
was	O
an	O
isolated	O
event	GOVERNMENT
,	O
and	O
not	O
irrationality	O
arising	O
from	O
comments	O
made	O
by	O
the	O
Pope	O
which	O
angered	O
some	O
Muslims	LOCATION
.	O
""""	O
Authorities	O
in	O
Mogadishu	LOCATION
have	O
not	O
determined	O
a	O
motive	QUANTITY
for	O
the	O
shooting	O
.	O
The	O
pope	O
has	O
said	O
he	O
meant	ARMY
no	O
offense	O
to	O
Muslims	LOCATION
when	O
he	O
quoted	O
a	O
14	O
century	O
Byzantine	O
emperor	O
as	O
saying	O
some	O
teachings	O
of	O
the	O
Prophet	O
Muhammed	O
brought	O
evil	O
to	O
the	O
world	O
.	O
""""	O
Pakistani	COUNTRY
forces	ARMY
have	O
targeted	O
militants	ARMY
in	O
the	O
northwest	O
for	O
a	O
third	O
day	O
,	O
launching	O
airstrikes	O
that	O
they	O
say	O
killed	ATTACKS
at	O
least	O
nine	QUANTITY
suspected	O
insurgents	O
.	O
""""	O
""""	O
Helicopter	O
gunships	O
Saturday	DAY
pounded	O
militant	ARMY
hideouts	O
in	O
the	O
Orakzai	O
tribal	QUANTITY
region	LOCATION
,	O
where	O
many	O
Taliban	ORGANISATION
militants	ARMY
are	O
believed	O
to	O
have	O
fled	O
to	O
avoid	O
an	O
earlier	ATTACKS
military	ARMY
offensive	QUANTITY
in	O
nearby	O
South	O
Waziristan	O
.	O
""""	O
The	O
Pakistani	COUNTRY
military	ARMY
launched	O
its	O
offensive	QUANTITY
in	O
Orakzai	O
to	O
hunt	O
Taliban	ORGANISATION
insurgents	O
.	O
""""	O
So	O
far	O
,	O
nearly	O
100	QUANTITY
militants	ARMY
have	O
been	O
reported	O
killed	ATTACKS
